```
Crop,Region,Optimal_Temperature_Range (°C),Optimal_Humidity_Range (%),Optimal_Soil_Moisture_Range (%),Optimal_pH_Range,Typical_Temperature (°C),Typical_Humidity (%),Typical_Soil_Moisture (%),Typical_pH
Potato,North/South,15.0-25.0,60.0-80.0,50.0-70.0,5.5-6.5,25.2,55.5,47.2,7.4
Tomato,Pan-India,20.0-30.0,60.0-80.0,50.0-70.0,6.0-6.8,26.5,60.0,50.0,7.0
Brinjal,Pan-India,20.0-30.0,60.0-80.0,50.0-70.0,5.5-6.8,26.5,60.0,50.0,7.0
Cauliflower,North/South,15.0-25.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Cabbage,North/South,15.0-25.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Onion,North/West,15.0-25.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Garlic,North/Central,15.0-25.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Spinach,North/South,15.0-25. Silvio,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Radish,North,15.0-25.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Carrot,North,15.0-25.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Okra,South,25.0-35.0,50.0-70.0,50.0-70.0,6.0-7.5,28.0,65.0,60.0,6.8
Peas,North,15.0-25.0,50.0-70.0,40.0-60.0,6.0-7.5,25.2,55.5,47.2,7.4
French Bean,Pan-India,15.0-25.0,50.0-70.0,50.0-70.0,6.

0-7.0,25.2,55.5,47.2,7.4
Capsicum,Pan-India,20.0-30.0,60.0-80.0,50.0-70.0,5.5-6.8,26.5,60.0,50.0,7.0
Cucumber,South/East,20.0-30.0,60.0-80.0,50.0-70.0,6.0-7.0,26.5,60.0,50.0,7.0
Bitter Gourd,South/East,25.0-35.0,50.0-70.0,50.0-70.0,6.0-7.0,28.0,65.0,60.0,6.8
Ridge Gourd,South/East,25.0-35.0,50.0-70.0,50.0-70.0,6.0-7.0,28.0,65.0,60.0,6.8
Bottle Gourd,South/East,25.0-35.0,50.0-70.0,50.0-70.0,6.0-7.0,28.0,65.0,60.0,6.8
Pumpkin,South/East,20.0-30.0,50.0-70.0,50.0-70.0,6.0-7.0,26.5,60.0,50.0,7.0
Sugarcane,Pan-India,25.0-35.0,50.0-70.0,50.0-70.0,6.5-8.0,26.5,60.0,50.0,7.0
Cotton,West/Central,25.0-35.0,40.0-60.0,30.0-50.0,6.0-7.5,27.0,50.0,40.0,7.5
Tobacco,Central/South,20.0-30.0,50.0-70.0,40.0-60.0,5.5-6.5,26.5,60.0,50.0,7.0
Coriander,Pan-India,15.0-25.0,50.0-70.0,40.0-60.0,6.0-7.0,25.2,55.5,47.2,7.4
Cumin,West,20.0-30.

0,40.0-60.0,30.0-50.0,6.5-7.5,27.0,50.0,40.0,7.5
Fenugreek,North/West,15.0-25.0,50.0-70.0,40.0-60.0,6.0-7.0,25.2,55.5,47.2,7.4
Turmeric,South,20.0-30.0,60.0-80.0,50.0-70.0,5.5-7.5,28.0,65.0,60.0,6.8
Ginger,South/East,20.0-30.0,60.0-80.0,50.0-70.0,5.5-7.0,28.0,65.0,60.0,6.8
Chili,Pan-India,20.0-30.0,50.0-70.0,50.0-70.0,6.0-7.0,26.5,60.0,50.0,7.0
Fennel,North/West,15.0-25.0,50.0-70.0,40.0-60.0,6.0-7.0,25.2,55.5,47.2,7.4
Mango,South/West,25.0-35.0,50.0-70.0,40.0-60.0,5.5-7.0,28.0,65.0,60.0,6.8
Banana,South/East,25.0-35.0,60.0-80.0,50.0-70.0,5.5-7.0,28.0,65.0,60.0,6.8
Guava,Pan-India,20.0-30.0,60.0-80.0,50.0-70.0,5.5-7.0,26.5,60.0,50.0,7.0
Amaranth,Pan-India,20.0-30.0,50.0-70.0,40.0-60.0,6.0-7.0,26.5,60.0,50.0,7.0
Buckwheat,North,15.0-25.0,50.0-70.0,40.0-60.0,5.5-7.0,25.2,55.5,47.2,7.4
Cluster Bean,West,20.0-30.0,50.0-70.0,40.0-60.0,6.0-7.5,27.0,50.0,40.0,7.5
```
